Samples,Sex,Cancer Type,Age,Therapy,Cancer,VOM7,VOM9,VOM11,VOM23,VOM40,VOM58,VOM64,VOM75,VOM78,VOM79,VOM88,VOM93,VOM94,VOM108,VOM115,VOM121,VOM126,VOM127
H1,F,H,ADC,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
C71,M,STC,NI,CTx,Y,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1
C57,M,STC,ADT,CTx,LNG,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
C73,F,BC,SN,None,LNG,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1
C83,F,BC,ADT,CTx,LNG,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1
C68,M,STC,ADT,CTx,LNG,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
C36,F,BC,SN,None,LNG,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
C84,F,BC,ADT,CTx,LNG,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1
C63,M,TPC,SN,None,LNG,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
C66,F,BC,ADT,CTx,LNG,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0
C60,M,TVT,ADT,None,LNG,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
C75,F,BC,SN,None,LNG,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1
C74,F,BC,SN,None,LNG,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1
C77,M,CC,NI,CTx,LNG,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
C28,F,BC,SN,None,LNG,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C65,F,BC,ADT,CTx,LNG,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
C61,M,TVT,NI,CTx,LNG,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
C79,F,BC,ADT,None,LNG,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1
C56,M,STC,ADT,CTx,LNG,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
C26,M,STC,ADT,CTx,LNG,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
C70,M,STC,ADT,CTx,LNG,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1
C51,F,BC,ADT,CTx,LNG,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
C82,F,BC,ADT,CTx,LNG,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1
C53,F,BC,ADT,CTx,LNG,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1
C72,M,TVT,ADT,None,LNG,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1
C55,F,BC,ADT,CTx,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C78,F,BC,SN,None,LNG,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
C62,M,TVT,NI,CTx,LNG,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
C59,M,TVT,ADT,CTx,LNG,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
C64,F,BC,ADT,None,LNG,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
C69,M,STC,ADT,CTx,LNG,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1
C52,F,BC,ADT,CTx,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C76,F,BC,ADT,CTx,LNG,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1
C67,M,STC,ADT,None,LNG,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
C81,F,BC,ADT,CTx,LNG,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1
